'Letter', 'Count', 'Percentage'
'p', 2, 100.0
'Letter', 'Count', 'Percentage'
'a', 1, 50.0
's', 1, 50.0
'Letter', 'Count', 'Percentage'
'e', 1, 50.0
'n', 1, 50.0
'Letter', 'Count', 'Percentage'
'c', 1, 50.0
'u', 1, 50.0
'Letter', 'Count', 'Percentage'
'd', 1, 50.0
'r', 1, 50.0
'Letter', 'Count', 'Percentage'
'e', 1, 50.0
'o', 1, 50.0
'Letter', 'Count', 'Percentage'
'a', 1, 50.0
'l', 1, 50.0
'Letter', 'Count', 'Percentage'
'a', 1, 50.0
't', 1, 50.0
'Letter', 'Count', 'Percentage'
'i', 1, 50.0
'm', 1, 50.0
'Letter', 'Count', 'Percentage'
'c', 1, 50.0
'e', 1, 50.0
'Letter', 'Count', 'Percentage'
'l', 1, 50.0
'o', 1, 50.0
'Letter', 'Count', 'Percentage'
'd', 1, 50.0
'l', 1, 50.0
'Letter', 'Count', 'Percentage'
'i', 1, 50.0
'u', 1, 50.0
'Letter', 'Count', 'Percentage'
'b', 1, 50.0
'o', 1, 50.0
'Letter', 'Count', 'Percentage'
'd', 1, 50.0
'r', 1, 50.0
'Letter', 'Count', 'Percentage'
'a', 1, 50.0
'e', 1, 50.0
'Letter', 'Count', 'Percentage'
'n', 2, 100.0
'Letter', 'Count', 'Percentage'
'c', 1, 50.0
'o', 1, 50.0
'Letter', 'Count', 'Percentage'
'h', 1, 50.0
's', 1, 50.0
'Letter', 'Count', 'Percentage'
'i', 1, 50.0
't', 1, 50.0
'Letter', 'Count', 'Percentage'
'a', 1, 50.0
'o', 1, 50.0
'Letter', 'Count', 'Percentage'
'm', 1, 50.0
't', 1, 50.0
'Letter', 'Count', 'Percentage'
'e', 1, 50.0
'y', 1, 50.0
